ШеЦк,АрДЮ,ЛњЬЈ,ЭЖШы,СМЦЗ,ВЛСМ,ВЛСМд­вђ,ИќаТШеЦк,ИќаТЪБМф
2019_10_21,АзАр,,1828,1788,0,ЩЈТыNG,,
2019_10_21,АзАр,,1829,1789,0,ЩЈТыNG,,
2019_10_21,АзАр,,1830,1790,0,ЩЈТыNG,,
2019_10_21,АзАр,,1831,1791,0,ЩЈТыNG,,
2019_10_21,АзАр,,1832,1792,0,ЩЈТыNG,,
2019_10_21,АзАр,,1833,1793,0,ЩЈТыNG,,
2019_10_21,АзАр,,1834,1794,0,ЩЈТыNG,,
2019_10_21,АзАр,,1835,1795,0,ЩЈТыNG,,
2019_10_21,АзАр,,1836,1796,0,ЩЈТыNG,,
2019_10_21,АзАр,,1837,1797,0,ЩЈТыNG,,
2019_10_21,АзАр,,1838,1798,0,ЩЈТыNG,,
2019_10_21,АзАр,,1839,1799,0,ЩЈТыNG,,
2019_10_21,АзАр,,1840,1800,0,ЩЈТыNG,,
2019_10_21,АзАр,,1841,1801,0,ЩЈТыNG,,
2019_10_21,АзАр,,1842,1802,0,ЩЈТыNG,,
2019_10_21,АзАр,,1843,1803,0,ЩЈТыNG,,
2019_10_21,АзАр,,1844,1804,0,ЩЈТыNG,,
2019_10_21,АзАр,,1845,1805,0,ЩЈТыNG,,
2019_10_21,АзАр,,1846,1806,0,ЩЈТыNG,,
2019_10_21,АзАр,,1847,1807,0,ЩЈТыNG,,
2019_10_21,АзАр,,1848,1808,0,ЩЈТыNG,,
2019_10_21,АзАр,,1849,1809,0,ЩЈТыNG,,
2019_10_21,АзАр,,1850,1810,0,ЩЈТыNG,,
2019_10_21,АзАр,,1851,1811,0,ЩЈТыNG,,
2019_10_21,АзАр,,1852,1812,0,ЩЈТыNG,,
2019_10_21,АзАр,,1853,1813,0,ЩЈТыNG,,
2019_10_21,АзАр,,1854,1814,0,ЩЈТыNG,,
2019_10_21,АзАр,,1855,1815,0,ЩЈТыNG,,
2019_10_21,АзАр,,1856,1816,0,ЩЈТыNG,,
2019_10_21,АзАр,,1857,1817,0,ЩЈТыNG,,
2019_10_21,АзАр,,1858,1818,0,ЩЈТыNG,,
2019_10_21,АзАр,,1859,1819,0,ЩЈТыNG,,
